season,week,n_contestants,breakeven_rank,breakeven_percent,judge_gap,judge_gap_pct
21,6,9,0.1111111111111116,0.1281505147319848,6.0,0.019169329073482427
21,7,8,0.1250000000000009,0.12697963800905043,0.5,0.0022624434389140274
21,8,7,0.14285714285714324,0.14727630232729805,1.0001999999999995,0.0051556860485135496
21,9,6,0.16666666666666696,0.17173252279635332,1.0,0.0060790273556231
21,11,4,0.2500000000000009,0.2627125107733148,2.0001000000000033,0.01695001436441898
22,2,12,0.08333333333333393,0.09110169491525433,2.0,0.00847457627118644
22,3,11,0.09090909090909172,0.09858074415036455,2.0,0.008438818565400843
22,4,10,0.10000000000000053,0.10846394984326047,3.0,0.009404388714733543
22,6,9,0.1111111111111116,0.12285854136074459,3.0,0.013215859030837005
22,7,8,0.1250000000000009,0.12704439252336464,0.5,0.002336448598130841
22,8,6,0.16666666666666696,0.1765285996055228,2.0,0.011834319526627219
22,9,5,0.20000000000000018,0.20278745644599372,0.5,0.003484320557491289
23,2,13,0.07692307692307754,0.08216783216783252,2.0,0.005681818181818182
23,3,12,0.08333333333333393,0.08333333333333393,0.0,0.0
23,4,11,0.09090909090909172,0.10135841170323978,3.0,0.011494252873563218
23,6,9,0.1111111111111116,0.11693989071038313,2.0,0.006557377049180328
23,7,8,0.1250000000000009,0.12817604355716927,1.0,0.003629764065335753
23,8,7,0.14285714285714324,0.1471215394244174,1.0,0.004975129328486894
23,9,6,0.16666666666666696,0.16666666666666696,0.0,0.0
23,10,5,0.20000000000000018,0.2054607508532431,1.0,0.006825938566552901
23,11,4,0.2500000000000009,0.2639638526583781,2.8331000000000017,0.01861847021117057
24,2,12,0.08333333333333393,0.08333333333333393,0.0,0.0
24,3,11,0.09090909090909172,0.09090909090909172,0.0,0.0
24,4,10,0.10000000000000053,0.10552147239263832,2.0,0.006134969325153374
24,5,9,0.1111111111111116,0.11403508771929882,1.0,0.003289473684210526
24,6,8,0.1250000000000009,0.12662639405204512,0.5,0.0018587360594795538
24,7,7,0.14285714285714324,0.14624505928853804,1.0,0.003952569169960474
24,8,5,0.20000000000000018,0.21604584527220716,3.5,0.02005730659025788
24,9,4,0.2500000000000009,0.2648514851485153,3.0,0.019801980198019802
25,2,13,0.07692307692307754,0.08367318239347554,2.0,0.007312614259597806
25,4,11,0.09090909090909172,0.09426366990942636,1.0,0.0036900369003690036
25,5,10,0.10000000000000053,0.10689655172413826,2.0,0.007662835249042145
25,6,9,0.1111111111111116,0.12273057371096652,4.0,0.013071895424836602
25,7,8,0.1250000000000009,0.1270348837209303,0.5,0.002325581395348837
25,8,6,0.16666666666666696,0.16932907348242843,0.5,0.003194888178913738
25,9,5,0.20000000000000018,0.20888888888888957,1.5,0.011111111111111112
25,10,4,0.2500000000000009,0.2566598481859623,1.3887,0.008879797581283048
26,2,8,0.1250000000000009,0.13154205607476666,2.0,0.007476635514018692
26,3,6,0.16666666666666696,0.18246445497630415,4.0,0.018957345971563982
27,2,12,0.08333333333333393,0.08672211953173203,1.0,0.0036968576709796672
27,3,11,0.09090909090909172,0.10097282791009743,3.0,0.01107011070110701
27,4,10,0.10000000000000053,0.11939655172413843,5.0,0.021551724137931036
27,6,9,0.1111111111111116,0.12275594371664322,3.0,0.013100436681222707
27,7,8,0.1250000000000009,0.13706896551724146,3.0,0.013793103448275862
27,8,6,0.16666666666666696,0.16925465838509357,0.5,0.003105590062111801
28,2,12,0.08333333333333393,0.09589041095890494,3.0,0.0136986301369863
28,4,10,0.10000000000000053,0.10319148936170297,1.0,0.0035460992907801418
28,7,8,0.1250000000000009,0.13799504950495134,3.0,0.01485148514851485
28,8,7,0.14285714285714324,0.16062183529406227,4.0,0.0207254745097389
28,9,6,0.16666666666666696,0.20663469224620368,10.0,0.047961630695443645
28,10,5,0.20000000000000018,0.20872727272727332,1.5,0.01090909090909091
29,2,15,0.06666666666666732,0.06666666666666732,0.0,0.0
29,3,14,0.07142857142857206,0.08134214539908502,3.0,0.010676156583629894
29,4,13,0.07692307692307754,0.07692307692307754,0.0,0.0
29,5,12,0.08333333333333393,0.08333333333333393,0.0,0.0
29,6,11,0.09090909090909172,0.10108548168249687,3.0,0.011194029850746268
29,7,10,0.10000000000000053,0.10692307692307779,2.0,0.007692307692307693
29,8,8,0.1250000000000009,0.13682355733974294,2.9998000000000005,0.013512636959706236
29,9,7,0.14285714285714324,0.14729742773175136,0.9998000000000005,0.005180332353709241
29,10,6,0.16666666666666696,0.1690613026819925,0.5,0.0028735632183908046
30,2,15,0.06666666666666732,0.08363636363636395,7.0,0.01818181818181818
30,3,14,0.07142857142857206,0.0745445829338447,1.0,0.003355704697986577
30,4,13,0.07692307692307754,0.08245711123409016,2.5,0.005995203836930456
30,5,11,0.09090909090909172,0.10035419126328282,4.0,0.01038961038961039
30,6,10,0.10000000000000053,0.10494505494505546,2.0,0.005494505494505495
30,7,9,0.1111111111111116,0.11654774040095184,2.0,0.0061162079510703364
30,8,8,0.1250000000000009,0.13352272727272751,3.0,0.00974025974025974
30,9,6,0.16666666666666696,0.16851032448377623,0.5,0.0022123893805309734
31,2,15,0.06666666666666732,0.07119741100323651,2.0,0.0048543689320388345
31,3,14,0.07142857142857206,0.07373271889400979,1.0,0.0024813895781637717
31,4,13,0.07692307692307754,0.08367729831144466,3.0,0.007317073170731708
31,5,12,0.08333333333333393,0.08844295800817559,2.5,0.005574136008918618
31,6,10,0.10000000000000053,0.11043478260869577,4.0,0.011594202898550725
31,7,9,0.1111111111111116,0.11930363543266775,3.0,0.009216589861751152
31,8,8,0.1250000000000009,0.14171974522293063,6.0,0.01910828025477707
31,9,6,0.16666666666666696,0.17424242424242475,2.0,0.00909090909090909
32,2,13,0.07692307692307754,0.08855850032320678,3.0,0.012605042016806723
32,3,12,0.08333333333333393,0.0890092879256974,2.0,0.006191950464396285
32,4,11,0.09090909090909172,0.09090909090909172,0.0,0.0
32,5,10,0.10000000000000053,0.11125000000000007,3.0,0.0125
32,6,9,0.1111111111111116,0.11663216011042099,2.0,0.006211180124223602
32,8,7,0.14285714285714324,0.15979672501411635,5.0,0.019762845849802372
32,9,6,0.16666666666666696,0.17420814479638036,2.0,0.00904977375565611
33,2,13,0.07692307692307754,0.07692307692307754,0.0,0.0
33,3,11,0.09090909090909172,0.0966266437964558,2.0,0.006289308176100629
33,4,9,0.1111111111111116,0.12018140589569182,3.0,0.01020408163265306
33,5,8,0.1250000000000009,0.1250000000000009,0.0,0.0
33,6,7,0.14285714285714324,0.15950069348127638,4.0,0.019417475728155338
33,7,6,0.16666666666666696,0.17447916666666696,1.5,0.009375
34,2,14,0.07142857142857206,0.07476875642343295,1.0,0.0035971223021582736
34,3,12,0.08333333333333393,0.08333333333333393,0.0,0.0
34,4,11,0.09090909090909172,0.10190615835777184,3.0,0.012096774193548387
34,6,10,0.10000000000000053,0.1026470588235302,1.0,0.0029411764705882353
34,7,9,0.1111111111111116,0.11914323962516793,3.0,0.009036144578313253
34,8,8,0.1250000000000009,0.1337064676616917,3.0,0.009950248756218905
34,9,7,0.14285714285714324,0.16507936507936538,7.0,0.025925925925925925
34,10,6,0.16666666666666696,0.17151162790697683,1.0,0.005813953488372093
