celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,followers,followers_log,week1_total,week2_total,week3_total,week4_total,week5_total,week6_total,week7_total,week8_total,week9_total,week10_total,week11_total,elimination_week,fan_vote_pct_uniform,fan_vote_scaled_uniform,fan_vote_pct_judge_proportional,fan_vote_scaled_judge_proportional,fan_vote_pct_instagram,fan_vote_scaled_instagram,IG_followers_normalized
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,5.0,7.0,7.0,,6.0,7.0,7.0,,8.0,8.0,9.0,,9.0,9.0,8.0,,7.0,9.0,9.0,,9.0,9.0,9.0,,8.5,9.0,9.0,,0.0,0.0,0.0,,,,,,,,,,,,,,38000000.0,17.453096744006448,19.0,20.0,25.0,26.0,25.0,27.0,26.5,0.0,0.0,0.0,0.0,7.0,0.1763339266277665,1763339.266277665,0.1578011566259151,1578011.5662591509,0.19232071072949738,1923207.107294974,0.2579756649298461
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,8.0,6.0,8.0,,9.0,10.0,10.0,,9.0,9.0,9.0,,8.0,9.0,9.0,,10.0,10.0,10.0,,10.0,10.0,10.0,,9.0,9.0,9.5,,9.3333,9.6666,9.6666,,,,,,,,,,,,,,607000.0,13.316285717486736,22.0,29.0,27.0,26.0,30.0,30.0,27.5,28.6665,0.0,0.0,0.0,,0.20000002851297202,2000000.28512972,0.21235521330477167,2123552.1330477167,0.1968291238558115,1968291.238558115,0.19682911936783706
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,7.0,7.0,7.0,,7.0,8.0,8.0,,7.0,6.0,6.0,,8.0,8.0,8.0,,7.0,8.0,8.0,,8.0,7.0,8.0,,7.0,7.0,6.5,,9.0,9.0,8.6666,,,,,,,,,,,,,,863000.0,13.668171128813444,21.0,23.0,19.0,24.0,23.0,23.0,20.5,26.666600000000003,0.0,0.0,0.0,,0.2236659878333147,2236659.878333147,0.20513320345976968,2051332.0345976967,0.23965275722285276,2396527.5722285276,0.20203036670506355
Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,2,Eliminated Week 3,8,7.0,8.0,8.0,,8.0,8.0,8.0,,7.0,8.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,8100.0,8.999742789830492,23.0,24.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.09147226938498249,914722.6938498248,0.06648564179014803,664856.4179014803,0.0781171628460051,781171.628460051,0.07811717583197486
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,4.0,4.0,4.0,,6.0,5.0,5.0,,6.0,4.0,4.0,,4.0,2.0,2.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,4000000.0,15.201805169084134,12.0,16.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.12499999761737704,1249999.9761737704,0.04301075765628253,430107.5765628253,0.1431316909795059,1431316.909795059,0.1431317149446722
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,8.0,8.0,8.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,9.0,9.0,10.0,,9.0,9.0,9.0,,10.0,10.0,10.0,,9.5,9.0,9.0,,9.6666,9.6666,9.6666,,,,,,,,,,,,,,110000.0,11.608244735642321,24.0,27.0,27.0,28.0,27.0,30.0,27.5,28.9998,0.0,0.0,0.0,,0.20000002851297202,2000000.28512972,0.21235521330477167,2123552.1330477167,0.18559870409591925,1855987.0409591924,0.17158242449862668
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,8.0,8.0,8.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,9.0,9.0,10.0,,9.0,9.0,9.0,,10.0,10.0,10.0,,9.5,9.0,9.0,,9.6666,9.6666,9.6666,,,,,,,,,,,,,,110000.0,11.608244735642321,24.0,27.0,27.0,28.0,27.0,30.0,27.5,28.9998,0.0,0.0,0.0,,,,,,,,
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,Eliminated Week 1,10,4.0,5.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,7800.0,8.962007209588313,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,Eliminated Week 3,9,5.0,6.0,6.0,,7.0,7.0,7.0,,7.0,8.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,61000.0,11.0186455364637,17.0,21.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.09048377344478131,904837.7344478131,0.07897934204623572,789793.4204623572,0.08032634650852645,803263.4650852645,0.08250091562485538
Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,Eliminated Week 4,8,6.0,8.0,8.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,8.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,1800000.0,14.403297778421795,22.0,24.0,27.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.10143537892276326,1014353.7892276326,0.08942334213837849,894233.421383785,0.10155390544257455,1015539.0544257455,0.11754031662343077
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,Eliminated Week 8,4,6.0,6.0,7.0,,9.0,8.0,9.0,,9.0,9.0,9.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,9.0,7.0,7.0,,9.0,9.0,9.0,,8.5,9.0,9.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,764000.0,13.546324377048325,19.0,26.0,27.0,24.0,27.0,23.0,27.0,26.5,0.0,0.0,0.0,8.0,0.19999998121716758,1999999.8121716757,0.1948529108236172,1948529.108236172,0.1956474148933172,1956474.148933172,0.19765463160380917
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,7.0,7.0,7.0,,10.0,9.0,10.0,,8.0,6.0,8.0,,9.0,9.0,9.0,,8.0,8.0,9.0,,8.0,8.0,8.0,,9.5,9.0,10.0,,9.5,8.5,9.0,,9.5,10.0,10.0,,0.0,0.0,0.0,,,,,,483000.0,13.087774003025942,21.0,29.0,22.0,27.0,25.0,24.0,28.5,27.0,29.5,0.0,0.0,,0.20000000604802934,2000000.0604802934,0.1985294215019992,1985294.215019992,0.1929709933108458,1929709.933108458,0.19096391589920472
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,9.0,8.0,9.0,,7.0,6.0,8.0,,8.0,6.0,8.0,,10.0,9.0,10.0,,9.0,9.0,9.0,,9.0,9.0,10.0,,9.5,9.0,9.5,,9.5,9.0,10.0,,10.0,9.5,10.0,,10.0,10.0,9.6666,,,,,,3300000.0,15.009433329466965,26.0,21.0,22.0,29.0,27.0,28.0,28.0,28.5,29.5,29.666600000000003,0.0,,0.20000000063874437,2000000.0063874437,0.20955882467038486,2095588.2467038487,0.21900287935938653,2190028.7935938654,0.21900287729298812
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,8.0,8.0,8.0,,8.0,8.0,8.0,,7.0,6.0,6.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,8.0,8.0,9.0,,10.0,9.5,9.0,,8.5,9.0,9.5,,9.5,10.0,10.0,,10.0,9.6666,10.0,,,,,,691000.0,13.445896549926763,24.0,24.0,19.0,24.0,27.0,25.0,28.5,27.0,29.5,29.666600000000003,0.0,,0.20000000604802934,2000000.0604802934,0.1985294215019992,1985294.215019992,0.19618935621822506,1961893.5621822507,0.19618928760199894
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,8.0,8.0,8.0,,8.0,8.0,8.0,,7.0,6.0,6.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,8.0,8.0,9.0,,10.0,9.5,9.0,,8.5,9.0,9.5,,9.5,10.0,10.0,,10.0,9.6666,10.0,,,,,,691000.0,13.445896549926763,24.0,24.0,19.0,24.0,27.0,25.0,28.5,27.0,29.5,29.666600000000003,0.0,,,,,,,,
Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,3,Eliminated Week 2,10,7.0,5.0,6.0,,8.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,433000.0,12.978495316450783,18.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.08450356864235242,845035.6864235242,0.07430312097049949,743031.2097049949,0.07796784569245939,779678.4569245939,0.08856843413188253
Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,Eliminated Week 5,7,7.0,7.0,8.0,,7.0,8.0,8.0,,7.0,7.0,8.0,,9.0,9.0,10.0,,9.0,9.0,9.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,39000.0,10.571342565808699,22.0,23.0,22.0,28.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.11463444744242418,1146344.4744242418,0.10982673209850427,1098267.3209850427,0.09775948727870871,977594.8727870871,0.09775977427060664
Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,Withdrew,6,5.0,5.0,5.0,,7.0,7.0,7.0,,8.0,9.0,8.0,,6.0,7.0,7.0,,8.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,368000.0,12.81584093453868,15.0,21.0,25.0,20.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.13005752545777752,1300575.2545777753,0.12524980937970195,1252498.0937970194,0.11851624167592387,1185162.4167592386,0.11851604553055727
Jerry Springer,Kym Johnson,TV Personality,,England,62,3,Eliminated Week 7,5,5.0,5.0,6.0,,7.0,6.0,6.0,,7.0,7.0,7.0,,7.0,7.0,8.0,,8.0,8.0,8.0,,7.0,6.0,5.0,,7.5,8.0,7.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,11000000.0,16.213405921671733,16.0,19.0,21.0,22.0,24.0,18.0,23.0,0.0,0.0,0.0,0.0,7.0,0.16666666237254685,1666666.6237254685,0.1406727723086144,1406727.723086144,0.18722705646315366,1872270.5646315366,0.19131148964486325
Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,3,Eliminated Week 1,11,5.0,4.0,3.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,6000000.0,15.607270193858982,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,
John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,4,Eliminated Week 7,6,6.0,5.0,6.0,,7.0,7.0,7.0,,7.0,6.0,7.0,,6.0,5.0,5.0,,6.0,6.0,6.0,,7.0,6.0,6.0,,7.5,7.5,7.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,240.0,5.484796933490655,17.0,21.0,20.0,16.0,18.0,19.0,22.5,0.0,0.0,0.0,0.0,7.0,0.11620616026304484,1162061.6026304483,0.08954738889787489,895473.8889787489,0.05456401375299898,545640.1375299898,0.0545640145099011
Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,4,Eliminated Week 9,4,7.0,7.0,7.0,,7.0,8.0,7.0,,8.0,8.0,8.0,,7.0,9.0,8.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,8.0,7.5,8.0,,9.5,10.0,9.5,,0.0,0.0,0.0,,,,,,667000.0,13.410546824147012,21.0,22.0,24.0,24.0,24.0,24.0,27.0,23.5,29.0,0.0,0.0,9.0,0.16666662707346272,1666666.2707346273,0.16292129497174154,1629212.9497174155,0.16216104632833975,1621610.4632833975,0.17120635112992486
Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,4,Eliminated Week 5,8,6.0,5.0,5.0,,6.0,6.0,6.0,,6.0,5.0,5.0,,6.0,4.0,5.0,,4.0,5.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,800.0,6.68586094706836,16.0,18.0,16.0,15.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.09999999443397442,999999.9443397442,0.056277044439181384,562770.4443918138,0.0541157056522431,541157.056522431,0.05411570908632267
Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,4,3rd Place,3,7.0,8.0,8.0,,9.0,9.0,9.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,9.0,10.0,9.0,,9.0,9.0,10.0,,10.0,9.5,10.0,,9.0,8.5,9.0,,10.0,10.0,10.0,,9.6666,9.0,9.6666,,,,,,1300000.0,14.077875591662238,23.0,27.0,21.0,21.0,28.0,28.0,29.5,26.5,30.0,28.333200000000005,0.0,,0.1666666702138596,1666666.7021385962,0.1685393313103014,1685393.3131030141,0.17972583878571105,1797258.3878571105,0.1797258339510572
Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,4,1st Place,1,7.0,7.0,7.0,,8.0,9.0,9.0,,7.0,8.0,8.0,,9.0,8.0,9.0,,10.0,10.0,10.0,,9.0,9.0,10.0,,9.0,8.5,9.5,,10.0,9.0,10.0,,10.0,9.5,10.0,,9.6666,9.6666,10.0,,,,,,200000.0,12.206077645517674,21.0,26.0,23.0,26.0,30.0,28.0,27.0,29.0,29.5,29.3332,0.0,,0.16666668114247915,1666666.8114247916,0.16573035554867707,1657303.5554867708,0.1603520758706397,1603520.7587063971,0.1558294410139048
Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,4,1st Place,1,7.0,7.0,7.0,,8.0,9.0,9.0,,7.0,8.0,8.0,,9.0,8.0,9.0,,10.0,10.0,10.0,,9.0,9.0,10.0,,9.0,8.5,9.5,,10.0,9.0,10.0,,10.0,9.5,10.0,,9.6666,9.6666,10.0,,,,,,200000.0,12.206077645517674,21.0,26.0,23.0,26.0,30.0,28.0,27.0,29.0,29.5,29.3332,0.0,,,,,,,,
Shandi Finnessey,Brian Fortuna,Beauty Pagent,Missouri,United States,28,4,Eliminated Week 3,10,6.0,6.0,7.0,,6.0,7.0,7.0,,7.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,18000.0,9.798182590890704,19.0,20.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.07339936795605262,733993.6795605262,0.05987735207245158,598773.5207245158,0.042561056577100596,425610.565771006,0.06793736958767539
Paulina Porizkova,Alec Mazo,Model,,Czechoslovakia,41,4,Eliminated Week 2,11,6.0,6.0,7.0,,7.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,14000000.0,16.454567959008102,19.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.07133811736564867,713381.1736564867,0.0605169434288831,605169.434288831,0.0553275699130941,553275.699130941,0.10240689340951464
Heather Mills,Jonathan Roberts,Model,,England,39,4,Eliminated Week 6,7,6.0,6.0,6.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,7.0,8.0,8.0,,7.0,7.0,7.0,,7.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,12500000.0,16.341239282272525,18.0,24.0,24.0,23.0,21.0,23.0,0.0,0.0,0.0,0.0,0.0,6.0,0.10155549386609959,1015554.9386609959,0.0837776746708652,837776.7467086519,0.08399518021200335,839951.8021200335,0.13983406733025197
Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,4,Eliminated Week 8,5,5.0,4.0,4.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,6.0,6.0,5.0,,7.0,7.0,7.0,,6.0,6.5,6.5,,6.5,6.5,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,18000000.0,16.705882371415992,13.0,21.0,21.0,21.0,17.0,21.0,19.0,19.0,0.0,0.0,0.0,8.0,0.1428571416607506,1428571.4166075059,0.10439560062384794,1043956.0062384794,0.1703107270799699,1703107.2707996988,0.17578550187990008
Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,4,2nd Place,2,8.0,8.0,8.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,10.0,9.0,9.0,,8.0,8.0,9.0,,9.0,9.0,9.0,,10.0,9.5,10.0,,9.5,9.0,9.0,,10.0,10.0,10.0,,9.6666,9.3333,9.6666,,,,,,550000.0,13.217675375388819,24.0,24.0,24.0,28.0,25.0,27.0,29.5,27.5,30.0,28.6665,0.0,,0.1666666702138596,1666666.7021385962,0.1685393313103014,1685393.3131030141,0.16866489903753873,1686648.9903753872,0.16866488381443895
Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,4,2nd Place,2,8.0,8.0,8.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,10.0,9.0,9.0,,8.0,8.0,9.0,,9.0,9.0,9.0,,10.0,9.5,10.0,,9.5,9.0,9.0,,10.0,10.0,10.0,,9.6666,9.3333,9.6666,,,,,,546600.0,13.211474381965832,24.0,24.0,24.0,28.0,25.0,27.0,29.5,27.5,30.0,28.6665,0.0,,,,,,,,
Leeza Gibbons,Tony Dovolani,TV Personality,South Carolina,United States,50,4,Eliminated Week 4,9,5.0,5.0,5.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,6.0,5.0,5.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,53000.0,10.87806606028079,15.0,21.0,24.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.08835985354370401,883598.5354370401,0.06097527494870638,609752.7494870638,0.05512082597138871,551208.2597138871,0.08092259391394525
Cameron Mathison,Edyta Sliwinska,Actor/Actress,,Canada,38,5,Eliminated Week 8,5,7.0,7.0,7.0,,7.0,7.0,7.0,,8.0,7.0,8.0,,9.0,9.0,9.0,,8.0,9.0,9.0,,9.0,8.0,8.0,,8.5,8.5,8.5,,8.5,8.5,8.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,400000.0,12.899222326086994,21.0,21.0,23.0,27.0,26.0,25.0,25.5,25.5,0.0,0.0,0.0,8.0,0.1628748869255185,1628748.869255185,0.15245820617200592,1524582.0617200593,0.16192381909450695,1619238.1909450695,0.16579455293065076
